[ 2025-06-16 16:05:00,558 ] 17 root - INFO - Initiate the data ingestion
[ 2025-06-16 16:05:08,071 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-16 16:05:08,071 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-16 16:05:08,071 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-16 16:05:08,113 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-16 16:05:08,114 ] 19 root - INFO - Data Initiation Completed
[ 2025-06-16 16:05:08,130 ] 23 root - INFO - Initiate the data Validation
[ 2025-06-16 16:05:08,185 ] 32 root - INFO - Required number of columns:2
[ 2025-06-16 16:05:08,185 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-16 16:05:08,185 ] 32 root - INFO - Required number of columns:2
[ 2025-06-16 16:05:08,185 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-16 16:05:08,301 ] 25 root - INFO - data Validation Completed
[ 2025-06-16 16:05:08,301 ] 28 root - INFO - data Transformation started
[ 2025-06-16 16:05:08,301 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-16 16:05:08,301 ] 65 root - INFO - Starting data transformation
[ 2025-06-16 16:05:08,317 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-16 16:05:08,317 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-16 16:05:08,328 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-16 16:05:08,331 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-16 16:05:08,331 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-16 16:05:08,333 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-16 16:05:08,334 ] 32 root - INFO - data Transformation completed
